MSOA,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Employment_16_to_74,Total_Population_in_Households_16_and_over,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_44,Age_45_to_59,Age_60_to_64,Age_65_to_74,Age_75_to_84,Age_85_to_89,Age_90_and_over,White_British_and_Irish,White_Other_White,Mixed_or_multiple_ethnic_group,Asian_or_Asian_British_Indian,Asian_or_Asian_British_Pakistani,Asian_or_Asian_British_Bangladeshi,Asian_or_Asian_British_Chinese,Asian_or_Asian_British_Other_Asian,Black_or_African_or_Caribbean_or_Black_British_African,Arab_or_Other_Ethnic_Groups,Christian,Other_religion,No_religion,Religion_not_stated,Main_language_is_English_or_Main_language_not_English__Can_speak_English_very_well,Main_language_is_not_English__Can_speak_English_well,Main_language_is_not_English__Cannot_speak_English_well,Main_language_is_not_English__Cannot_speak_English,All_household_members_have_the_same_ethnic_group,Different_ethnic_groups_between_the_generations_only,Different_ethnic_groups_within_partnerships_(whether_or_not_different_ethnic_groups_between_generations),Any_other_combination_of_multiple_ethnic_groups,Owned_and_Shared_Ownership,Social_rented,Private_rented,Living_rent_free,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,No_qualifications,Highest_level_of_qualification_Level_1_Level_2_or_Apprenticeship,Highest_level_of_qualification_Level_3_qualifications,Highest_level_of_qualification_Level_4_qualifications_and_above,Schoolchildren_and_fulltime_students_Age_16_and_over,No_cars_or_vans_in_household,1_car_or_van_in_household,2_or_more_cars_or_vans_in_household,Work_mainly_at_or_from_home,Public_Transport,Private_Transport,On_foot_Bicycle_or_Other,Managers_directors_and_senior_officials,Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,Caring_leisure_and_other_service_occupations,Sales_and_customer_service_occupations,Process_plant_and_machine_operatives,Elementary_occupations,Median_House_Price_201415,Average_Annual_Income_201516,Number_Births_201617
E02000315,9080,3440,6525,6007,3482,6484,923,789,689,673,591,581,2160,1474,304,378,374,109,35,4312,435,400,181,47,81,81,236,3161,146,5463,1130,1825,662,7888,443,149,39,1798,244,219,118,1311,1604,487,38,4483,2838,1105,494,160,1821,2034,608,1503,768,1645,1412,383,102,1939,1218,223,207,469,301,387,340,542,348,314,574,250000,35300,173
E02000316,10750,4944,8543,8275,5666,8491,961,618,548,504,1046,1501,3515,1232,263,294,187,56,25,4329,1381,631,329,105,78,348,666,2595,288,5295,1850,2828,777,8879,883,330,56,1871,278,498,281,1247,2013,1630,54,5749,3426,1079,370,126,1374,1921,858,3525,1063,2900,1765,279,215,3724,1048,679,608,1338,916,570,368,495,451,218,702,295000,45200,230
E02000317,8370,3200,6059,5783,3108,5982,903,671,624,564,657,632,2040,1364,287,352,187,50,39,3440,602,501,148,81,90,252,508,2621,127,4146,1620,1950,654,6819,624,324,58,1521,290,226,156,667,2063,424,46,4155,2661,1018,407,129,1530,1762,592,1613,835,1742,1137,321,116,1817,838,337,198,514,301,315,302,408,319,218,533,239750,36700,154
E02000318,9842,3283,7612,7268,4332,7612,824,640,616,672,989,860,2459,1692,297,449,269,54,21,2764,683,464,851,387,112,109,1996,2280,196,4055,3715,1438,634,7316,1387,522,112,1682,230,227,262,1451,843,951,38,4960,3222,1123,406,131,1626,2128,790,1963,1276,1592,1311,380,114,2724,1167,327,268,527,387,407,402,504,513,281,1043,250000,35300,181
E02000319,10971,3866,8546,8218,5033,8400,993,716,579,633,956,1236,3179,1696,298,357,209,72,47,3697,864,563,786,292,158,154,1157,2997,303,5184,2950,2082,755,8682,1099,453,87,1854,250,308,328,1476,1210,1142,38,5773,3504,1152,394,148,1604,2266,925,2646,1114,1824,1595,447,132,3129,1280,492,375,789,577,587,444,546,497,310,908,250000,40300,221
E02000320,6624,2524,4962,4682,2962,4941,630,495,411,469,488,463,1545,1254,263,326,195,50,35,3227,460,378,192,79,32,39,448,1637,132,3756,992,1347,529,5689,415,122,28,1337,163,212,95,1369,717,419,19,3252,2250,788,252,82,1082,1617,550,1273,498,1017,1055,452,86,1591,1109,176,210,446,299,386,352,358,292,214,405,297500,43800,107
E02000321,7200,2877,5471,5214,3036,5418,689,507,452,481,595,669,1788,1148,272,342,178,40,39,3088,527,420,206,118,39,129,551,1988,134,3670,1352,1699,479,5899,557,277,57,1319,193,226,129,724,1581,522,50,3396,2385,923,378,118,1390,1622,547,1366,708,1594,1065,218,86,1786,836,328,190,394,284,341,302,461,290,226,548,215000,34700,147
E02000323,10674,4001,7915,7622,4399,7872,1066,806,740,699,913,982,2887,1562,315,411,217,42,34,3341,825,578,608,191,117,224,1066,3492,232,5021,2970,1981,702,8190,1159,553,99,1831,322,280,261,1069,1976,912,44,5369,3530,1208,425,142,1804,2114,858,2203,1324,2264,1362,375,150,2686,1132,431,281,612,446,415,424,556,446,319,900,269000,40200,221
E02000324,7315,2807,5657,5204,3067,5523,615,516,443,434,581,611,1750,1168,298,446,298,105,50,3747,650,393,197,85,93,190,544,1293,123,3480,1279,1924,632,6144,553,215,33,1371,185,221,154,917,1483,374,33,3374,2423,994,402,122,1445,1433,593,1677,666,1395,1050,362,118,1748,896,305,269,526,401,353,292,324,277,185,440,346250,42700,121
E02000326,7070,2932,5590,5307,3631,5583,670,364,369,359,479,623,2123,1147,290,363,229,35,19,4080,702,398,266,67,42,148,325,938,104,3305,920,2264,581,6038,415,155,35,1374,161,325,176,1496,878,538,20,3632,2346,744,267,81,894,1260,525,2506,559,1143,1444,345,153,2195,888,395,366,999,663,391,254,254,239,137,328,450000,56100,139
