MSOA,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Employment_16_to_74,Total_Population_in_Households_16_and_over,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_44,Age_45_to_59,Age_60_to_64,Age_65_to_74,Age_75_to_84,Age_85_to_89,Age_90_and_over,White_British_and_Irish,White_Other_White,Mixed_or_multiple_ethnic_group,Asian_or_Asian_British_Indian,Asian_or_Asian_British_Pakistani,Asian_or_Asian_British_Bangladeshi,Asian_or_Asian_British_Chinese,Asian_or_Asian_British_Other_Asian,Black_or_African_or_Caribbean_or_Black_British_African,Arab_or_Other_Ethnic_Groups,Christian,Other_religion,No_religion,Religion_not_stated,Main_language_is_English_or_Main_language_not_English__Can_speak_English_very_well,Main_language_is_not_English__Can_speak_English_well,Main_language_is_not_English__Cannot_speak_English_well,Main_language_is_not_English__Cannot_speak_English,All_household_members_have_the_same_ethnic_group,Different_ethnic_groups_between_the_generations_only,Different_ethnic_groups_within_partnerships_(whether_or_not_different_ethnic_groups_between_generations),Any_other_combination_of_multiple_ethnic_groups,Owned_and_Shared_Ownership,Social_rented,Private_rented,Living_rent_free,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,No_qualifications,Highest_level_of_qualification_Level_1_Level_2_or_Apprenticeship,Highest_level_of_qualification_Level_3_qualifications,Highest_level_of_qualification_Level_4_qualifications_and_above,Schoolchildren_and_fulltime_students_Age_16_and_over,No_cars_or_vans_in_household,1_car_or_van_in_household,2_or_more_cars_or_vans_in_household,Work_mainly_at_or_from_home,Public_Transport,Private_Transport,On_foot_Bicycle_or_Other,Managers_directors_and_senior_officials,Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,Caring_leisure_and_other_service_occupations,Sales_and_customer_service_occupations,Process_plant_and_machine_operatives,Elementary_occupations,Median_House_Price_201415,Average_Annual_Income_201516,Number_Births_201617
E02000001,7375,4385,6755,6307,4747,6595,236,182,169,197,545,956,2045,1547,463,587,331,75,42,4423,1376,289,216,16,232,263,213,193,154,3344,858,2522,651,6806,305,89,12,1199,94,461,159,1868,725,1573,219,4112,2374,643,190,56,454,783,484,4618,491,3043,1100,242,436,1512,182,2617,845,1894,1097,335,114,128,109,52,173,816350,79700,68
E02000002,6775,2713,5024,4360,2470,4973,628,586,446,434,424,510,1388,999,259,437,419,156,89,4003,400,330,270,178,147,44,181,1133,89,3975,949,1417,434,5933,303,128,24,1475,201,159,64,1277,1133,269,34,2933,2288,1059,389,106,1623,1613,479,914,435,1020,1186,507,61,1000,1234,175,162,336,229,323,310,302,261,218,329,240000,38600,136
E02000003,10045,3834,7798,7149,4520,7786,833,673,620,617,689,774,2300,1804,455,631,449,142,58,4883,603,433,812,562,489,76,345,1618,224,5475,2379,1514,677,8656,631,225,36,2133,242,276,144,2535,446,830,23,4566,3633,1325,406,115,1778,2615,847,1829,668,1196,1753,885,122,2035,2010,353,390,696,517,714,503,438,408,346,508,250000,46400,184
E02000004,6182,2318,4986,4438,2847,4741,365,335,408,491,455,419,1154,1233,310,464,364,119,65,4792,214,186,47,41,60,38,127,649,28,4070,340,1373,399,5759,158,42,5,1451,83,142,33,1703,371,228,16,2857,2086,861,302,76,1502,1788,539,891,400,556,1085,677,72,1017,1506,252,214,386,345,470,385,270,241,256,280,252500,45300,98
E02000005,8562,3183,6362,5933,3582,6362,796,631,635,628,533,569,1995,1474,355,517,306,88,35,5132,542,313,301,239,264,41,205,1445,80,4986,1142,1816,618,7454,442,180,30,1899,187,191,98,1875,793,482,33,4089,2811,1134,412,116,1839,2224,653,1119,565,1080,1423,680,81,1499,1718,284,244,415,286,516,495,434,342,361,489,240000,41000,179
E02000007,8791,3441,6403,5798,3312,6284,909,721,644,628,616,635,1867,1417,319,430,384,141,80,5353,553,307,71,98,138,43,176,1997,55,5409,722,2148,512,7705,370,145,27,1918,242,143,74,1411,1663,333,34,3996,3015,1252,407,121,2057,2232,556,1129,641,1496,1444,501,67,1481,1491,273,178,488,254,401,381,430,318,341,521,226250,36200,170
E02000008,11569,4591,8627,7906,4542,8622,1182,824,781,800,731,803,2662,1979,425,661,503,149,69,7213,844,478,189,212,201,57,224,2010,141,7015,1121,2680,753,10034,539,229,48,2557,314,215,107,2148,1762,641,40,5262,3846,1598,642,221,2787,2940,796,1401,755,1776,2063,752,87,1961,2147,347,295,518,414,601,556,577,389,480,712,220000,35600,207
E02000009,8395,3212,6333,5947,3487,6314,817,568,554,626,599,651,2046,1461,282,405,266,81,39,4440,696,366,263,364,235,65,293,1581,92,4743,1373,1728,551,7029,568,235,48,1761,210,221,123,1554,982,619,57,3911,2796,1094,457,137,1841,2085,562,1240,668,1192,1490,530,63,1599,1584,241,211,467,273,451,440,379,344,320,602,218500,37800,253
E02000010,8615,3292,6280,5832,3424,6280,910,678,634,626,534,590,2007,1472,276,440,317,97,34,5330,632,280,93,80,213,56,196,1641,94,5279,721,2067,548,7454,434,164,19,1949,213,135,94,1553,1195,517,27,4045,2906,1091,433,140,1951,2127,596,1091,589,1281,1449,562,53,1629,1464,278,194,418,276,429,460,423,317,341,566,225000,39500,166
E02000011,6187,2289,4800,4372,2766,4699,515,396,394,459,426,384,1276,1192,305,412,300,92,36,3665,441,202,168,63,230,48,173,1146,51,4006,695,1119,367,5377,325,133,20,1406,125,128,55,1533,289,440,27,2896,2151,808,244,88,1375,1660,448,938,468,668,1112,509,75,1312,1151,228,193,352,268,437,369,292,235,244,376,238000,43500,123
E02000012,9888,3258,7584,6965,4240,7575,777,692,680,759,798,804,2091,1709,407,552,422,133,64,3695,645,427,835,920,1761,93,332,969,211,4307,4001,1012,568,8130,797,413,74,1906,191,234,136,2266,475,476,41,4845,3409,1174,346,114,1726,2322,828,1881,911,873,1463,922,130,2015,1793,302,413,659,495,623,431,381,398,407,433,325000,50800,173
E02000013,8402,3125,6053,5613,3306,6047,889,725,609,586,471,581,1963,1363,337,438,314,96,30,5112,678,374,141,123,161,45,187,1492,89,5077,766,1937,622,7296,444,179,27,1813,224,146,84,1476,1181,435,33,3825,2849,1159,444,125,1891,2086,515,1037,569,1157,1414,554,61,1475,1522,248,197,369,257,444,434,392,340,337,536,232000,39100,141
E02000014,9402,3531,6950,6421,3779,6867,923,737,671,657,585,685,2066,1618,422,509,358,123,48,5888,739,362,97,88,219,75,151,1650,133,5734,787,2208,673,8128,501,204,28,2126,205,181,92,1564,1413,527,27,4276,3207,1291,485,143,2280,2330,579,1151,597,1419,1550,562,64,1772,1584,359,213,395,308,438,509,508,357,405,646,225000,38100,157
E02000015,7563,3170,5585,5191,2883,5571,777,544,535,569,553,600,1740,1219,269,363,287,64,43,4339,447,343,100,53,107,48,121,1913,92,4633,652,1765,513,6557,373,147,14,1595,172,179,84,1040,1604,505,21,3509,2543,1034,357,120,1702,1962,466,1007,557,1534,1255,381,61,1369,1174,279,191,340,210,373,343,382,282,301,461,200000,38800,171
E02000016,7676,2934,5621,5540,3248,5615,955,610,419,437,737,1150,2231,749,152,155,62,14,5,1310,961,437,925,831,465,112,343,2073,219,3148,3282,828,418,5456,1146,412,71,1397,246,227,259,703,1038,1172,21,4038,2681,677,222,58,841,1332,473,2017,977,1877,890,167,69,2208,702,269,239,634,332,320,289,304,345,217,568,175000,41400,268
E02000017,8498,2729,6636,6291,3749,6608,731,538,496,476,826,1050,2061,1311,278,386,275,40,30,1735,922,299,1082,1897,720,64,516,1066,197,3043,4345,657,453,6167,1168,562,120,1461,206,197,271,1573,267,860,29,4141,2914,999,333,111,1324,1733,596,1971,986,1084,1144,501,92,2128,1185,344,282,623,382,399,425,320,412,319,587,234000,49100,179
E02000018,8890,3326,6399,5988,3420,6393,992,700,663,616,641,670,2101,1362,331,403,280,92,39,4892,810,415,140,216,293,56,158,1769,141,5180,1139,2036,535,7470,575,242,40,1873,272,161,135,1335,1405,565,21,4248,2943,1148,401,150,1927,2124,582,1174,632,1421,1387,518,65,1645,1461,249,213,407,298,464,493,400,303,312,530,230000,35800,164
E02000019,8276,3010,6034,5636,3434,5992,884,658,567,601,493,592,2074,1314,330,365,300,75,23,4585,702,324,153,151,224,60,160,1826,91,5034,860,1854,528,7087,457,168,35,1811,195,184,98,1461,1045,472,32,4048,2724,1035,371,98,1738,2037,515,1201,608,1019,1435,556,70,1541,1526,297,203,455,323,429,397,367,337,384,539,225000,40100,148
E02000020,9276,3460,6825,6279,3640,6823,942,763,632,535,661,800,2246,1401,316,434,376,122,48,3441,859,415,560,611,595,86,465,2014,230,4884,2523,1286,583,7248,980,403,62,1758,304,224,193,1535,1260,633,32,4251,3140,1253,456,176,1848,1894,624,1643,809,1494,1499,467,92,1868,1331,349,242,488,342,465,435,371,369,336,592,208000,40700,261
E02000021,7904,2949,5829,5398,3315,5724,809,638,516,526,531,579,1762,1425,303,384,321,71,39,3832,716,322,246,118,189,31,133,2219,98,5052,907,1374,571,6666,489,225,34,1642,242,193,89,1636,565,717,31,3783,2646,1025,342,108,1638,1947,517,1221,618,1106,1316,527,82,1470,1453,310,221,414,276,447,451,359,309,322,516,215000,38800,144
E02000022,8777,3261,5829,5661,3005,5745,1249,892,693,467,632,830,2472,1004,173,197,129,28,11,2139,1216,497,312,485,326,120,236,3149,297,4167,2805,1210,595,6422,1099,442,56,1561,435,203,143,603,2061,563,34,4651,2718,938,374,96,1454,1563,537,1461,772,1874,1208,179,73,1825,816,291,173,410,252,315,285,340,294,277,659,185000,34100,213
E02000023,6482,2431,4445,4227,2406,4445,875,638,446,382,501,575,1659,850,167,171,160,44,14,2443,485,328,125,148,335,22,153,2337,106,3618,1319,1126,419,5238,485,194,30,1217,238,133,112,748,1271,396,16,3283,2028,796,300,75,1107,1458,403,1009,560,1171,1018,242,58,1241,919,188,141,303,204,282,256,311,243,234,432,249995,35400,163
E02000024,10156,4110,8232,7330,5186,8045,631,572,603,560,523,602,2070,2240,645,808,567,211,124,7487,983,384,381,51,41,131,283,242,173,5608,1324,2361,863,9317,331,122,21,2114,139,507,125,3084,214,753,59,5314,3304,1163,283,92,1019,2058,900,3800,636,824,1983,1303,447,1889,2246,604,745,1581,857,569,375,374,281,162,242,490000,63400,121
E02000025,7956,3622,6550,5965,4052,6523,514,423,397,444,442,579,1909,1630,453,580,410,125,50,5367,897,367,301,52,35,125,201,370,241,4233,1057,2011,655,7167,364,89,15,1646,150,380,99,2305,512,763,42,3935,2682,953,292,94,1038,1781,680,2601,508,954,1749,919,255,1549,1964,284,477,1143,609,510,324,348,247,160,234,340000,49900,122
E02000026,6313,2496,5056,4590,3024,5019,418,364,397,346,342,396,1343,1316,382,543,332,96,38,3922,1039,244,300,34,25,77,262,239,171,3491,1248,1069,505,5684,266,93,9,1354,117,260,79,1922,133,404,37,3291,2037,722,205,58,790,1374,542,2003,417,399,1175,922,195,1034,1602,193,423,753,479,411,241,257,169,124,167,480350,54700,93
E02000027,9598,3705,7457,6839,4168,7358,624,669,697,720,598,560,2013,1857,484,758,458,110,50,5848,839,524,405,73,66,160,483,906,294,5385,1591,1806,816,8461,560,183,36,1986,257,361,89,2033,1259,369,44,4514,3281,1257,405,141,1683,2318,758,2118,735,1086,1655,964,208,1485,2111,364,404,831,541,528,444,445,374,233,368,409500,47000,109
E02000028,6166,2473,5004,4540,3194,4945,418,336,339,344,365,480,1381,1216,331,492,326,80,58,3869,747,283,381,70,23,106,233,297,157,3184,1345,1139,498,5485,276,122,23,1303,137,304,98,1787,89,574,23,3217,2053,640,188,68,675,1357,547,2063,388,474,1143,856,247,1193,1540,214,453,811,561,464,249,223,171,95,167,375000,55500,83
E02000029,8517,3513,6685,6210,4195,6675,667,575,499,481,481,610,2042,1688,434,565,337,91,47,5492,894,495,369,59,15,134,328,500,231,4556,1362,1911,688,7592,369,147,19,1760,185,404,110,2247,336,890,40,4284,2900,946,300,87,1117,2026,684,2399,530,922,1637,954,225,1601,2021,348,475,961,680,558,427,389,238,202,265,325000,48200,117
E02000030,9130,3410,7337,6477,4156,7221,468,519,679,590,507,448,1558,2043,576,882,605,160,95,5952,898,338,547,119,19,186,449,364,258,4203,2770,1266,891,8377,360,105,18,1964,169,360,127,2659,385,303,63,4738,2917,1029,312,134,1309,1909,752,2880,613,479,1224,1707,464,1194,2225,273,869,1000,623,496,293,312,217,139,207,755000,59400,85
E02000031,7294,2817,5932,5147,3499,5788,472,411,406,389,380,522,1586,1367,394,582,524,154,107,4120,1101,310,520,53,36,155,398,347,254,3651,1895,1134,614,6333,443,201,21,1450,134,346,127,1920,231,633,33,3709,2402,826,256,101,862,1393,633,2566,458,611,1229,977,294,1559,1400,246,518,990,597,435,224,262,201,94,178,628750,56400,101
E02000032,7857,2742,6255,5704,3805,6223,464,481,539,514,437,427,1567,1670,512,695,410,88,53,3673,1647,347,737,122,82,167,416,277,389,3891,2230,1041,695,6860,549,190,23,1577,151,377,104,2357,81,280,24,3953,2682,898,248,76,1019,1632,762,2353,560,356,1156,1230,251,1401,1901,252,537,964,566,534,322,311,210,160,201,550000,56000,52
E02000033,8537,3317,6758,6181,4066,6659,585,539,542,542,467,638,2018,1679,410,540,395,105,77,4661,1231,508,600,81,62,96,444,537,317,4683,1671,1550,633,7375,543,232,31,1676,243,362,102,2301,466,520,30,4096,2934,1066,334,107,1251,2019,762,2121,561,807,1619,891,204,1715,1892,255,457,795,609,594,409,381,306,204,311,377500,48600,122
E02000034,8508,3403,6827,6222,4176,6769,602,493,491,485,504,630,1970,1624,454,650,409,120,76,4619,1398,419,614,74,72,145,401,473,293,4572,1902,1345,689,7272,617,226,22,1667,242,388,147,2203,334,811,55,4347,2834,935,296,96,1060,1709,721,2716,587,887,1499,1017,259,1643,1940,334,590,993,604,566,380,354,280,160,249,340000,51100,109
E02000035,7965,3381,6585,5880,4013,6403,542,395,362,333,434,745,2105,1351,396,597,467,155,83,3815,1277,360,801,80,43,240,576,340,433,3199,2630,1497,639,6563,769,242,45,1518,173,386,152,1909,437,991,44,3929,2671,962,319,84,936,1299,610,3073,539,970,1595,816,302,1958,1450,303,581,1145,684,455,276,278,246,124,224,425000,52100,119
E02000036,10743,3942,8292,7583,4933,8238,881,708,702,692,688,804,2341,1980,499,739,501,134,74,4943,1284,474,1110,212,66,289,639,1322,404,4135,4595,1153,860,9023,852,300,45,2233,240,349,154,2623,498,770,51,5322,3730,1180,370,141,1460,2237,882,2888,775,843,1756,1343,326,1837,2487,283,617,1097,682,668,471,472,336,234,356,396000,49700,181
E02000037,9741,3397,7337,6678,4381,7337,752,783,740,592,631,636,1809,1776,632,731,432,152,75,5198,987,361,1316,140,38,126,442,771,362,2242,5980,659,860,8451,595,221,34,2123,183,298,104,2252,686,411,48,5085,3091,1148,324,93,1260,1949,788,2745,708,724,1207,1466,399,1449,2260,273,642,1215,586,595,240,371,280,192,260,565000,55900,151
E02000038,10514,4049,8495,7866,5321,8269,674,607,595,626,745,891,2607,1984,495,661,404,115,110,5088,1795,566,1023,108,73,205,459,826,371,5134,2468,2028,884,8874,826,339,54,1915,265,506,211,2584,391,989,85,5407,3415,1175,377,140,1304,2055,937,3407,806,993,1983,1073,344,2474,2125,378,704,1267,894,616,458,428,361,228,365,441000,55000,117
E02000039,6675,2485,5206,4790,3324,5206,463,421,483,417,343,468,1435,1338,388,503,285,83,48,3810,872,277,414,129,37,159,330,433,214,2446,2841,874,514,5927,338,121,25,1340,149,290,115,1815,101,542,27,3746,2079,617,178,55,589,1240,530,2418,480,408,987,1090,385,1188,1533,218,626,948,542,349,202,225,145,109,178,515000,63000,96
E02000040,7197,2649,5494,4963,3131,5425,524,544,502,560,396,512,1526,1279,338,485,343,127,61,3595,889,424,423,141,37,141,508,705,334,3058,2441,1103,595,6097,557,209,46,1313,202,288,153,1509,660,388,92,3688,2407,771,263,68,960,1346,584,2062,597,638,1205,806,263,1131,1396,341,455,732,493,331,250,280,211,159,220,617500,55100,97
E02000041,8811,3120,6903,6254,4108,6854,684,532,576,543,656,728,1869,1572,409,593,449,124,76,3741,1298,360,1006,198,66,210,675,825,432,3087,4275,862,587,7129,850,357,51,1693,193,287,180,1894,343,831,52,4450,2913,1029,315,104,1258,1741,700,2377,726,878,1288,954,291,1740,1712,365,505,866,489,528,366,358,309,233,454,407500,47600,155
E02000042,10639,4421,8821,8031,5526,8640,713,513,503,515,628,1102,2933,1784,448,710,506,166,118,4304,1863,529,1553,216,75,215,754,562,568,4290,3413,2084,852,8377,1247,488,85,1905,236,538,261,2363,384,1575,99,5270,3536,1316,407,110,1317,1695,833,3898,775,1590,2037,794,346,2812,1749,619,638,1535,864,633,445,399,392,209,411,383750,50900,178
E02000043,7696,2693,5988,5433,3747,5908,609,568,449,370,359,530,1930,1423,414,489,406,101,48,3381,1267,319,979,124,24,277,805,201,319,2678,2754,1557,707,6293,727,285,50,1502,142,399,145,1923,65,679,26,4253,2451,743,197,52,622,1080,543,3154,477,449,1236,1008,340,1781,1368,258,612,1234,641,428,195,224,177,83,153,716000,69600,83
E02000044,8071,2862,6117,5766,3616,6117,651,566,604,582,544,595,1906,1513,335,424,259,63,29,3524,1004,432,544,132,70,128,705,1211,321,3887,2432,1168,584,6509,822,304,44,1587,259,262,135,1407,882,542,31,3841,2862,951,308,109,1282,1720,577,1837,661,918,1270,674,161,1701,1484,270,336,647,373,440,361,428,331,231,469,323000,48900,140
E02000045,10237,4168,8069,7665,5089,8058,776,644,624,618,640,938,2808,1857,412,516,307,66,31,4919,1688,749,678,79,71,180,478,907,488,4823,2048,2533,833,8562,814,304,52,1816,326,502,231,2138,893,1037,100,5083,3475,1102,441,136,1345,1972,917,3051,723,1450,1955,763,301,2500,1844,444,531,1176,807,582,498,469,360,251,415,357500,48900,138
E02000046,7063,2860,5909,5478,3940,5846,479,333,280,273,472,891,2151,1056,279,418,282,81,68,3017,1417,383,790,81,53,230,500,282,310,2721,2127,1626,589,5609,805,285,45,1248,127,388,271,1445,131,1249,35,3751,2319,707,223,63,654,1016,566,2969,549,964,1361,535,275,2238,1088,339,511,1155,684,466,292,241,215,89,287,475000,55500,100
E02000047,11373,4036,8692,8089,4950,8526,985,802,724,779,767,1057,2795,1860,425,576,413,121,69,3615,1623,610,978,248,146,421,1388,1787,557,5689,3542,1395,747,8368,1625,690,103,2062,374,338,214,1703,1257,1018,58,5287,4024,1349,522,191,2102,2286,790,2171,1006,1669,1716,651,150,2521,1859,420,358,702,448,561,620,586,520,369,786,287000,44400,161
E02000048,9817,3784,7697,7054,4820,7697,781,664,578,530,510,811,2390,1713,488,709,470,121,52,4712,1560,453,745,191,36,229,698,613,580,3154,4495,1293,875,8322,679,295,39,1879,210,441,200,2606,200,933,45,5294,3210,972,268,73,951,1701,751,3554,715,668,1766,1350,432,1859,2248,281,812,1361,789,513,322,342,284,155,242,450000,55000,144
E02000049,8503,3028,6025,5814,3200,6025,835,757,720,690,596,660,2063,1321,271,379,156,37,18,2342,928,654,373,132,63,274,666,2519,552,4283,2565,1092,563,6477,1081,384,71,1505,332,242,131,690,1886,404,48,4208,2805,1005,361,124,1292,1752,642,1521,849,1363,1285,380,98,1640,1194,268,213,421,313,319,332,456,346,287,513,300000,36100,163
E02000050,10064,3853,7983,7472,4991,7971,736,646,572,588,691,928,2545,1707,463,677,380,78,53,4727,1550,592,1134,112,93,128,424,919,385,4389,2766,2087,822,8277,894,365,79,1805,243,481,261,2011,955,842,45,4955,3397,1175,425,112,1313,1737,793,3286,777,1248,1808,797,257,2437,1781,516,592,1267,801,512,440,386,367,203,423,389950,50000,123
E02000051,8647,3537,7114,6310,4247,7037,507,493,438,459,544,728,2060,1464,418,732,537,174,93,4153,1528,384,684,111,49,172,562,454,550,2256,4307,1276,808,7222,793,264,53,1606,180,345,284,2085,218,1132,102,4448,2845,1016,258,80,916,1330,704,3377,809,1014,1497,1026,525,1861,1509,352,762,1197,748,410,227,299,264,93,247,530000,51200,112
E02000052,9698,4163,8015,7500,5440,8015,696,491,404,402,667,1129,2853,1521,404,616,355,113,47,5441,1682,516,483,89,57,145,350,599,336,3826,2018,2985,869,8350,622,225,43,1741,207,566,314,2167,682,1258,56,5229,3053,1033,282,101,941,1305,716,4320,646,1587,2026,550,343,3150,1455,492,695,1680,1165,550,329,298,276,119,328,538500,60700,117
E02000053,8697,3244,7153,6844,4161,6709,670,427,386,561,1028,1140,2203,1271,304,398,235,52,22,2029,1534,441,992,420,41,570,1113,1098,459,3790,3032,1289,586,6229,1441,509,101,1472,229,290,229,1493,502,1206,43,4326,3152,877,270,72,1112,1618,751,2473,1334,1168,1508,568,126,2212,1453,370,423,746,539,430,497,332,445,251,498,329500,47900,277
E02000054,7206,2774,5907,5551,3601,5876,504,375,348,379,675,821,1797,1218,321,412,262,71,23,2377,1517,355,704,150,58,383,519,657,486,2711,2959,907,629,5573,926,322,53,1252,157,304,240,1531,189,1027,27,3770,2446,718,188,84,697,1127,612,2543,838,744,1284,746,288,1560,1457,296,474,892,465,422,332,292,235,167,322,321975,52500,109
E02000055,11130,4179,9137,8290,5248,8900,798,608,492,622,1343,1364,2488,1517,423,628,530,174,143,4361,2526,454,924,149,57,485,711,775,688,3640,5117,1437,936,8629,1479,456,68,1923,210,416,429,1933,601,1553,92,5845,3610,1198,352,125,1282,1716,976,3751,1635,1572,1683,924,413,2523,1715,597,757,1200,670,567,450,459,389,180,576,470000,48800,173
E02000056,9212,3390,7192,6370,4366,7023,669,648,588,471,443,641,2039,1623,559,709,456,205,161,5578,1762,297,339,91,18,95,365,200,467,2182,4854,1108,1068,8268,441,135,12,1695,162,427,273,2375,183,743,89,5454,2697,767,211,83,646,1156,681,4086,589,587,1325,1478,649,1689,1728,300,987,1408,813,371,135,277,153,52,170,1195000,82600,96
E02000057,7484,2460,5594,5123,3378,5547,772,554,476,380,639,971,1605,941,272,403,332,97,42,3463,1807,243,463,94,26,163,345,327,553,1770,4490,603,621,5879,813,282,39,1314,125,305,198,1358,149,902,51,4258,2266,680,203,77,769,1106,644,2258,735,696,1036,728,287,1433,1271,387,474,892,407,398,276,310,235,103,283,490000,53700,154
E02000058,10220,3961,7975,7181,4953,7932,858,671,604,448,611,988,2344,1565,535,802,503,169,122,5503,2344,404,371,118,32,130,451,338,529,2752,4821,1517,1130,8685,734,227,26,1730,210,534,288,2477,222,1207,55,5859,3115,932,226,88,769,1416,744,4143,662,1110,1772,1079,585,2319,1618,431,868,1533,863,494,237,302,268,110,278,805500,57700,135
E02000059,10459,3990,8419,7879,4961,8402,806,609,507,553,905,1122,2667,1794,382,574,417,84,39,2650,1764,522,1806,401,106,347,1131,1172,560,4325,4237,1170,727,7444,1693,679,119,1854,299,333,282,1842,942,1151,55,4794,3746,1320,449,150,1672,2023,798,2557,1027,1554,1739,697,160,2393,1890,518,458,795,453,540,631,478,591,355,660,294975,44100,205
E02000060,10920,3400,7769,6940,4506,7542,1109,1010,889,561,810,1233,2228,1315,379,557,450,213,166,5571,2358,297,622,101,46,196,445,372,912,2001,6854,1013,1052,8940,950,328,42,1580,189,418,316,1692,250,1390,68,6541,2963,987,316,113,1140,1632,809,3104,876,1164,1354,882,487,2006,1456,557,708,1218,592,558,309,330,294,103,394,535250,48800,220
E02000061,8013,3172,6667,6010,4145,6529,486,383,390,377,632,998,1999,1224,367,500,396,150,111,3332,1980,400,421,119,32,226,680,259,564,2309,3353,1489,862,6629,812,239,35,1304,155,416,334,1625,97,1372,78,4437,2513,772,222,69,618,908,613,3735,767,1161,1252,759,473,2376,980,316,726,1320,736,380,199,264,182,66,272,911125,55900,108
E02000062,6340,2357,4980,4680,2962,4942,473,386,409,464,518,687,1532,1036,231,304,220,49,31,1979,1151,357,520,169,58,144,531,976,455,2928,1997,936,479,4682,906,367,86,1028,197,213,210,883,710,729,35,2978,2217,777,275,93,1051,1188,484,1484,632,1096,947,314,137,1564,900,361,251,469,367,299,373,325,282,168,428,400000,40500,83
E02000063,6971,2503,5487,5091,3222,5402,495,456,439,439,452,713,1785,1135,276,385,251,95,50,2083,1561,386,375,146,81,175,561,777,826,3028,2518,885,540,5022,1115,462,69,1200,186,258,173,1354,158,940,51,3411,2435,781,244,100,918,1147,508,1958,603,854,1122,527,183,1727,1049,263,403,610,420,384,334,260,276,191,344,512500,46300,112
E02000064,6248,2450,5037,4653,2857,4805,448,376,320,341,500,702,1594,908,274,401,257,75,52,2541,1261,351,194,75,87,94,471,652,522,2676,1982,1038,552,4872,790,261,45,1017,184,242,228,1036,622,743,49,3136,2039,677,284,112,834,972,518,1995,653,1145,923,382,226,1586,769,276,368,607,437,279,245,291,183,115,332,479950,45500,71
E02000065,7666,2728,5460,5327,3274,5446,863,633,585,610,528,508,1981,1343,216,266,113,13,7,2824,496,359,145,42,39,132,175,3354,100,5079,721,1404,462,6610,379,148,24,1566,190,180,89,1413,622,666,27,4414,2349,609,218,76,960,1710,576,1729,780,989,1184,555,127,1759,1232,156,214,632,321,414,276,384,299,266,468,205500,44100,169
E02000066,9641,3795,7234,6830,4035,7192,792,738,706,720,686,676,2127,1839,441,512,307,58,39,4474,627,327,272,50,28,334,342,3065,122,5742,1042,2200,657,8359,468,299,44,2046,231,176,96,1369,1907,482,37,4783,3096,1193,436,133,1798,2371,683,1749,806,1633,1628,534,101,2156,1537,241,225,506,391,518,404,542,420,335,694,221000,37700,156
E02000067,8750,3580,6677,6239,4059,6664,748,614,590,605,568,667,2095,1540,394,491,306,86,46,5558,530,313,475,32,21,72,194,1435,120,4985,919,2250,596,7723,369,178,30,1971,149,208,78,2088,699,754,39,4203,3014,1063,346,124,1576,2464,705,1483,609,1125,1728,727,110,1661,1964,324,345,516,505,617,477,396,352,376,475,164995,41000,176
E02000068,7388,3041,5507,5188,3268,5507,772,536,455,474,534,691,1780,1236,253,338,219,67,33,4331,494,274,420,31,13,40,142,1554,89,4295,839,1826,428,6431,316,133,18,1679,122,195,52,1574,728,700,39,3784,2399,836,286,83,1240,1912,614,1276,477,1098,1415,528,94,1426,1463,285,291,456,361,496,331,330,321,266,416,183000,40900,144
E02000069,6194,2495,4954,4441,2795,4904,412,335,409,444,359,426,1195,1214,324,563,384,85,44,4349,257,170,381,54,10,73,102,754,44,3727,621,1414,432,5671,181,79,20,1499,81,125,44,1782,315,380,18,2790,2196,847,287,74,1240,1782,521,1103,390,624,1162,709,107,932,1552,204,273,429,286,438,327,266,235,239,302,216000,44100,83
E02000070,7875,3177,6443,5721,3804,6443,441,401,486,510,492,399,1453,1720,495,756,537,123,62,6233,255,158,405,24,17,31,166,523,63,4910,692,1766,507,7383,139,73,8,2057,78,156,48,2631,244,281,21,3607,2763,1113,328,64,1543,2529,771,1240,441,645,1422,1110,126,1283,2174,221,347,528,465,640,481,367,322,303,351,272500,50900,108
E02000071,7300,2782,5753,5295,3537,5753,473,458,505,583,493,431,1465,1522,381,531,338,74,46,5980,217,177,292,6,30,58,120,391,29,4326,550,1979,445,6787,138,75,17,1875,81,141,37,2156,316,278,32,3431,2643,904,245,77,1359,2324,730,1016,449,589,1252,941,105,1106,2047,279,316,396,381,609,503,345,360,302,325,250000,46800,98
E02000072,11734,4722,8443,7929,4674,8435,1217,986,919,874,814,827,2804,1823,378,578,423,58,33,7833,528,391,154,28,15,93,146,2433,113,6863,636,3453,782,10587,276,110,8,2767,196,230,88,1950,2087,636,49,5657,3881,1553,485,158,2393,3044,789,1663,806,1853,2124,745,108,1886,2253,427,290,581,432,641,502,520,487,464,757,220000,40000,224
